R		Longitude
8.38565022422   270	
8.73831775701	270
10.8092485549	270
11.6875		270
12.7210884354	270
20.1075268817	270
8.30826292561   280
10.2505511319	280
13.778408727	280
8.29927491162	290
9.16498941013	290
10.6027876822	290
11.8146784268	290
12.6662949506	290
13.9759165361	290
24.4969605752	290
7.47933541624	300
9.02081711921	300
10.026073991	300
14.6524214183	300
20.1112159322	300
7.36392714341	310
9.09353857723	310
10.2666479833	310
15.4815362962	310
24.063639562	310
6.15113193031	320
7.40095190215	320
8.2097257728	320
10.2374526135	320
12.0910697351	320
4.60591133005	330	
6.15131578947	330
7.3046875	330
8.34821428571	330
12.3026315789	330
3.22620748072	340
3.77901749695	340
6.01987001859	340
7.68312854387	340
8.5		340
12.2420255952	340
21.1469561711	340
35.0560480281	340
2.23633801516	350
3.30665476532	350
6.73660961005	350
10.7514618628	350
147.426780568	350
2.69422295812e-14	360
-3.81681585734e-14	360
-2.41062054148e-14	360
-1.63577822458e-14	360
