R		Longitude
8.5             180
9.22437833176   190
11.9371715622   190
7.68312854387   200
9.80279317337   200
12.9878170613   200
9.84210526316   210
11.130952381    210
13.5507246377   210
8.74742878892   220
9.66145162973   220
11.0873215457   220
12.2139298863   220
14.4103302818   220
8.70664952278   230
9.58005243313   230
10.974531147    230
12.188426961    230
14.3927088437   230
9.4415504771    240
13.1103807752   240
15.2026149099   240
8.9776930707    250
9.41039381129   250
12.1412032503   250
13.3393570099   250
15.0534517711   250
16.93998787     250
20.7385331551   250
8.95463893365   260
10.8547412624   260
11.5346170765   260
13.575273805	260
17.2663614569	260
8.38565022422	270
8.73831775701	270
10.8092485549	270
11.6875		270
12.7210884354	270
20.1075268817	270
